employee_id,client_id,first_name,last_name,personal_number,bank_account,bank_account_format,cost_centre,contract_type,pay_basis,monthly_salary,hourly_rate,started_on,ended_on,is_active,record_updated_on
E001-00001,CL-001,Kateřina,Dvořáková,695412/6832,CZ2908000000004741765745,IBAN,HQ-BRNO-01,HPP,monthly,71000,,2016-03-14,,True,2026-07-11
E001-00002,CL-001,Pavel,Bureš,790514/4426,CZ3303000000005208338155,IBAN,HQ-BRNO-01,HPP,monthly,93500,,2023-09-24,,True,2026-07-30
E001-00003,CL-001,Petra,Chalupová,775907/2179,CZ4801000000004047635578,IBAN,HQ-BRNO-01,HPP,monthly,91000,,2011-04-24,,True,2025-08-20
E001-00004,CL-001,Roman,Havel,040306/5064,CZ1262100000001076676832,IBAN,HQ-BRNO-01,HPP,monthly,94500,,2020-12-16,,True,2025-09-07
E001-00005,CL-001,Miroslav,Němec,020404/5089,CZ5655007104206443147482,IBAN,HQ-BRNO-01,HPP,monthly,40500,,2018-06-14,,True,2026-07-05
E001-00006,CL-001,Věra,Králová,045108/4304,CZ4527000000004120502919,IBAN,HQ-BRNO-01,HPP,monthly,65500,,2017-05-12,,True,2026-01-27
E001-00007,CL-001,Lenka,Nováková,646106/6028,CZ4206000000004434388888,IBAN,HQ-BRNO-01,HPP,monthly,53500,,2018-06-12,,True,2026-07-01
E001-00008,CL-001,František,Hruban,061007/8551,CZ6008000000000894890202,IBAN,HQ-BRNO-01,HPP,monthly,93000,,2021-08-24,,True,2025-09-05
E001-00009,CL-001,Monika,Horáková,055518/1348,CZ8701000000007450897336,IBAN,HQ-BRNO-01,HPP,monthly,88000,,2016-07-08,,True,2026-03-08
E001-00010,CL-001,Hana,Krausová,865416/2753,CZ3627000000007025147614,IBAN,HQ-BRNO-01,HPP,monthly,93000,,2011-12-26,,True,2026-02-25
E001-00011,CL-001,Ludmila,Urbanová,905128/9094,CZ2503000000006823904533,IBAN,HQ-BRNO-01,HPP,monthly,51000,,2010-10-24,,True,2025-09-29
E001-00012,CL-001,Markéta,Bartošová,785626/8539,CZ2020100000003061348926,IBAN,HQ-BRNO-01,HPP,monthly,88000,,2022-01-15,,True,2026-03-10
E001-00013,CL-001,Martina,Procházková,925612/3803,CZ1003000000008399923361,IBAN,HQ-BRNO-01,HPP,monthly,59000,,2023-10-27,,True,2025-10-13
E001-00014,CL-001,Marie,Kroupová,715123/6257,CZ1608000000003683855073,IBAN,HQ-BRNO-01,HPP,monthly,56500,,2019-04-05,,True,2025-10-10
E001-00015,CL-001,Jana,Klimentová,635823/6056,CZ5606000000008062812637,IBAN,HQ-BRNO-01,HPP,monthly,48000,,2022-07-26,,True,2026-07-17
E001-00016,CL-001,Zdeněk,Hlaváček,901115/9833,CZ2027005609001611035261,IBAN,HQ-BRNO-01,HPP,monthly,62000,,2018-02-07,,True,2026-03-05
E001-00017,CL-001,Antonín,Loukota,900915/8957,CZ0727000000000498847292,IBAN,HQ-BRNO-01,HPP,monthly,87500,,2017-04-18,,True,2026-05-12
E001-00018,CL-001,Jitka,Fialová,675120/1390,CZ9362100000001994314289,IBAN,HQ-BRNO-01,HPP,monthly,59500,,2023-10-18,,True,2026-02-21
E001-00019,CL-001,Marie,Bezděková,915207/3987,CZ1408000000001123203519,IBAN,HQ-BRNO-01,HPP,monthly,63000,,2023-09-05,,True,2026-05-20
E001-00020,CL-001,Michaela,Dvořáková,045423/1473,CZ7808000000003813701746,IBAN,HQ-BRNO-01,HPP,monthly,77500,,2012-12-05,,True,2026-01-11
E001-00021,CL-001,Markéta,Urbanová,825420/6291,CZ4008002589571679214682,IBAN,HQ-BRNO-01,HPP,monthly,78500,,2021-03-14,,True,2025-07-27
E001-00022,CL-001,Jaroslava,Nováková,685524/8914,CZ2506000000006617587594,IBAN,HQ-BRNO-01,HPP,monthly,95500,,2023-02-12,,True,2025-07-18
E001-00023,CL-001,Jitka,Veselá,886209/1680,CZ7620100000001199843131,IBAN,HQ-BRNO-01,HPP,monthly,90500,,2024-05-07,,True,2025-10-01
E001-00024,CL-001,Jaroslav,Kraus,830610/7344,CZ0601000000006204259838,IBAN,HQ-BRNO-01,HPP,monthly,88000,,2024-05-28,,True,2025-12-12
E001-00025,CL-001,Ludmila,Malá,955111/6603,CZ0220100000006427357599,IBAN,HQ-BRNO-01,HPP,monthly,71500,,2022-06-16,,True,2025-10-01
E001-00026,CL-001,Josef,Ježek,710225/1761,CZ1862100000007478905547,IBAN,HQ-BRNO-01,HPP,monthly,59500,,2023-10-01,,True,2025-11-27
E001-00027,CL-001,Pavel,Kratochvíl,891019/5177,CZ2862103750496358950473,IBAN,HQ-BRNO-01,HPP,monthly,50000,,2022-04-26,,True,2026-06-16
E001-00028,CL-001,Zdeňka,Křížová,875222/1469,CZ3262100000000501842541,IBAN,HQ-BRNO-01,HPP,monthly,67500,,2025-01-08,,True,2026-02-24
E001-00029,CL-001,Věra,Nováková,055102/4376,CZ7901000000006253326265,IBAN,HQ-BRNO-01,HPP,monthly,48500,,2016-12-11,,True,2026-07-20
E001-00030,CL-001,Marie,Pospíšilová,015823/8676,CZ4801000000003672862692,IBAN,HQ-BRNO-01,HPP,monthly,67500,,2014-09-10,,True,2025-10-05
E001-00031,CL-001,Vojtěch,Pokorný,750606/6556,CZ7962100000004065089650,IBAN,HQ-BRNO-01,HPP,monthly,69000,,2018-10-07,,True,2026-06-12
E001-00032,CL-001,Ladislav,Vaculík,830218/3298,CZ1708002376676633542160,IBAN,HQ-BRNO-01,HPP,monthly,89000,,2021-08-03,,True,2025-12-30
E001-00033,CL-001,Lenka,Benešová,876121/8567,CZ6855000000001289642507,IBAN,HQ-BRNO-01,HPP,monthly,45500,,2024-02-20,,True,2026-05-02
E001-00034,CL-001,Jitka,Blažková,716025/3015,CZ2903000000006492128765,IBAN,HQ-BRNO-01,HPP,monthly,86500,,2023-02-28,,True,2026-02-28
E001-00035,CL-001,Lukáš,Vrána,820402/7537,CZ5730300000008347552899,IBAN,HQ-BRNO-01,HPP,monthly,66000,,2013-07-15,,True,2025-08-31
E001-00036,CL-001,Zuzana,Doubková,945727/4564,CZ3703000000007445852603,IBAN,HQ-BRNO-01,HPP,monthly,94000,,2021-07-04,,True,2025-10-06
E001-00037,CL-001,Anna,Ježková,946125/5618,CZ1103000000005174901778,IBAN,HQ-BRNO-01,HPP,monthly,54000,,2018-11-28,,True,2026-01-26
E001-00038,CL-001,Markéta,Pospíšilová,996126/4453,CZ3706002130820122379849,IBAN,HQ-BRNO-01,HPP,monthly,56000,,2018-01-01,,True,2026-05-21
E001-00039,CL-001,Veronika,Svobodová,735815/4442,CZ0220100000001158858277,IBAN,HQ-BRNO-01,HPP,monthly,88000,,2014-04-29,,True,2026-05-02
E001-00040,CL-001,Eva,Procházková,675926/6227,CZ1127000000008718617811,IBAN,HQ-BRNO-01,HPP,monthly,48000,,2016-02-28,,True,2026-03-06
E001-00041,CL-001,Martin,Barták,621024/1356,CZ5701000000001586256439,IBAN,HQ-BRNO-01,HPP,monthly,71500,,2021-10-07,,True,2025-09-19
E001-00042,CL-001,Petr,Štěpánek,691201/5638,CZ3906000312509931019549,IBAN,HQ-BRNO-01,HPP,monthly,79000,,2023-10-15,,True,2026-03-10
E001-00043,CL-001,Pavel,Konečný,860722/5292,CZ8803003479406938994529,IBAN,HQ-BRNO-01,HPP,monthly,66500,,2018-08-17,,True,2025-11-30
